gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
187079,20141231,2014,INDL,C,D,STD,USD,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,A,24.9436,
187084,20141231,2014,INDL,C,D,STD,USD,,3380.863,5.3537,47.214,1307.097,115.972,91.008,37.585,2127.583,2139.832,0,243.142,326.032,18.027,0.48,-23.53,582.23,-89.632,383.624,2858.575,56.123,136.387,35.062,2271.257,2271.257,522.288,463.715,155.917,1945.225,A,,322220
187098,20141231,2014,INDL,C,D,STD,USD,,82.192,1.0721,0.736,7.471,19.955,20.049,22.456,36.179,36.179,0,-5.498,-5.427,0.006,-0.37,32.941,0,-29.184,24.518,60.697,-7.324,-6.052,0,2.044,2.044,21.495,-1.466,9.462,7.471,A,0.6896,211111
187099,20141231,2014,INDL,C,D,STD,USD,,,,,,,19.54,,,,,,,,,,,,,,,,,,,,,,,A,10.36,
187100,20140630,2014,INDL,C,D,STD,USD,,0.004,-0.0298,0.004,0,6.903,6.903,0.201,0,0,0,-0.105,-0.105,,-0.02,0.105,0,0,0.21,0.21,-0.117,-0.102,0,0,0,-0.206,-0.206,0.012,0.105,A,3.15,999990
187101,20150131,2014,INDL,C,D,STD,CAD,,8.717,0.0178,0.323,0,472.351,477.159,0,0,0,0,-0.982,-0.98,,0,0,0,0.663,0.243,0.243,-0.969,-0.718,0,0,0,8.474,0.096,0,0.98,A,,211111
187105,20141231,2014,INDL,C,D,STD,USD,,794.715,7.8758,413.633,95.925,36.33,35.479,0,79.219,79.219,0,31.342,56.342,1.675,0.5,64.455,0,-65.535,431.84,515.291,18.242,54.423,0,267.832,267.832,279.424,61.467,1.612,211.49,A,64.57,524292
187107,20141231,2014,INDL,C,D,STD,CAD,,2.216,0.0031,1.876,0,311.676,336.023,0,0,0,0,-6.418,-6.418,,-0.02,1.868,0,0,1.173,1.173,-6.317,-5.548,0,0,0,1.043,1.043,0,6.418,A,0.09,211111
187110,20140731,2014,INDL,C,D,STD,USD,,0.177,-0.0093,0.177,0,18.407,18.407,0.126,0,0,0,-0.185,-0.185,0,-0.01,0.363,0,-0.025,0.349,0.349,-0.189,-0.161,0,0,0,-0.172,-0.172,0.018,0.185,A,1.1,211111
187112,20141130,2014,INDL,C,D,STD,USD,,8.922,-0.8085,0.354,4.878,1.669,1.572,9.15,0,9.15,0,0.214,0.215,0.002,-0.07,6.599,5.896,-2.689,,10.193,-0.074,-3.702,0,5.351,5.351,-1.271,,0.323,5.136,A,65,541711
