gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,act,ceq,che,ci,csho,dlc,dltt,dt,dvt,ebitda,emp,fincf,icapt,idit,intan,invt,ivncf,ivst,lct,oancf,ppegt,pstk,rect,revt,seq,tfva,txt,xint,xlr,xopr,costat,prcc_c,naics
063075,20141231,2014,INDL,C,D,STD,SHERRITT INTERNATIONAL CORP,CAD,857.2000,3058.7000,477.2000,-29.7000,293.2710,1.6000,1858.3000,1859.9,11.9000,177.2000,6.8590,-841.7000,4917.0000,60.7000,149.4000,30.6000,547.6000,316.6000,193.6000,128.2000,1953.5000,0.0000,204.9000,455.6000,3058.7000,444.9000,45.4000,163.9000,107.9000,278.4000,A,3.0000,212234
063080,20141231,2014,INDL,C,D,STD,ANSYS INC,USD,1110.4930,2217.5010,788.7780,225.5800,90.7650,0.0000,0.0000,0,0.0000,430.4500,2.7000,-185.6420,2217.5010,3.0020,1571.4940,0.0000,-129.2700,0.7140,465.0990,385.3070,151.0160,0.0000,272.3350,936.0210,2217.5010,282.0470,93.4490,0.7790,,505.5710,A,82.0000,511210
063081,20141231,2014,INDL,C,D,STD,ARADIGM CORP,USD,50.5050,39.1150,48.2400,4.6520,14.7270,0.0000,0.0000,0,0.0000,-3.5270,0.0180,0.1640,39.1150,0.0170,0.0000,0.0000,-0.4120,0.2500,6.7690,0.1070,12.5950,0.0000,1.0580,33.5610,39.1150,,0.0000,0.2880,,37.0880,A,7.6000,339112
063083,20141231,2014,INDL,C,D,STD,ENDOLOGIX INC,USD,147.7670,124.1500,86.6690,-29.0490,67.1600,0.0000,70.4070,70.407,0.0000,-25.8630,0.5900,2.0610,194.5570,0.2450,72.3310,31.3250,-43.2790,59.8710,29.6240,-26.3340,37.6930,0.0000,26.6110,147.5880,124.1500,26.7980,-0.0620,5.7090,,173.4510,A,15.2900,339112
063099,20141231,2014,INDL,C,D,STD,BROADVISION INC,USD,41.4840,35.6130,37.0790,-9.4810,4.8320,0.0000,0.0000,0,0.0000,-7.2790,0.1630,0.5570,35.6130,0.0540,0.0000,0.0000,-2.6260,12.1380,5.4390,-9.9780,2.5760,0.0000,3.2860,13.5850,35.6130,37.0790,0.1570,0.0000,,20.8640,A,6.0200,5415
063120,20141231,2014,INDL,C,D,STD,AXA SA,USD,,78921.5120,60633.2710,16764.7250,2441.6930,3370.1290,9608.1940,11063.945,2371.7960,,96.2790,-4995.2940,163007.7300,0.0000,26015.9400,0.0000,-10078.9230,33952.9860,,15623.6020,,0.0000,73056.1570,146102.6340,78921.5120,559464.3230,2167.2890,615.9410,9205.2310,136220.9570,A,23.2390,524113
063122,20150331,2014,INDL,C,D,STD,ENCISION INC,USD,3.6710,3.2680,0.2590,-1.3830,10.6730,0.0000,0.0640,0.064,0.0000,-1.0130,0.0430,0.0640,3.3320,,0.2580,2.3370,-0.0620,0.0000,1.2930,-1.4330,3.9170,0.0000,0.9650,9.6710,3.2680,,0.0000,0.0070,,10.6840,A,0.8300,334510
063123,20141231,2014,INDL,C,D,STD,GENESEE & WYOMING INC  -CL A,USD,548.4260,2356.8590,59.7270,182.6650,53.9580,67.3980,1548.0510,1615.449,0.0000,573.5520,5.2000,15.2390,3906.0310,1.4450,1216.4780,30.2510,-509.8450,0.0000,464.2380,491.4640,4462.0190,0.0000,357.2780,1639.0120,2356.8590,0.1360,107.1070,56.1620,471.7130,1065.4600,A,89.9200,482111
063135,20141231,2014,INDL,C,D,STD,DIME COMMUNITY BANCSHARES,USD,,459.7250,78.4370,40.4580,36.8550,569.5000,674.9050,,20.1060,88.9900,0.4090,419.3320,1134.6300,,55.6380,0.0180,-433.9350,0.2500,,47.2630,,0.0000,4100.7470,181.9900,459.7250,38.7740,30.1240,,36.2790,93.0000,A,16.2800,522120
063135,20141231,2014,FS,C,D,STD,DIME COMMUNITY BANCSHARES,USD,,459.7250,,40.4580,,569.5000,674.9050,,20.1060,,0.4090,,1134.6300,172.9520,55.6380,,,0.2500,,,,0.0000,,181.9900,459.7250,,30.1240,48.4160,36.2790,,A,16.2800,522120
063138,20141231,2014,INDL,C,D,STD,IMATION CORP,USD,339.4000,240.8000,114.6000,-136.7000,42.2720,18.9000,0.0000,0,0.0000,-28.8000,0.9100,-2.6000,240.8000,0.5000,94.0000,57.7000,-2.2000,0.0000,212.6000,-7.8000,184.0000,0.0000,134.4000,729.5000,240.8000,7.3000,3.1000,2.6000,,758.3000,A,3.7900,334613
063139,20141231,2014,INDL,C,D,STD,TURQUOISE HILL RESOURCES LTD,USD,1313.3490,8237.6420,862.7550,-208.8840,2012.2990,0.0000,0.0000,0,0.0000,452.9270,2.8970,213.1300,7576.7250,4.9820,0.0000,400.1420,-86.6380,0.0000,516.6770,658.2810,7135.6340,0.0000,33.5490,1644.1330,8237.6420,148.8420,51.0010,7.7290,,1191.2060,A,3.1000,212234
063144,20141231,2014,INDL,C,D,STD,ICTS INTERNATIONAL NV,USD,33.0240,-39.0590,10.7320,1.2630,8.0620,10.0220,30.1860,30.186,0.0000,1.9430,4.7840,3.4810,-8.8730,0.1040,0.3140,0.0000,1.2230,4.7590,35.4790,2.6060,5.6050,0.0000,20.9910,172.9290,-39.0590,,0.0900,3.3850,,170.9860,A,0.8500,561611
063165,20141231,2014,INDL,C,D,STD,KENTUCKY BANCSHARES INC,USD,,77.9420,18.4490,12.9880,2.7200,43.4130,70.0460,,2.7210,17.0690,0.2150,70.1670,147.9880,,14.5030,5.3800,-79.7080,1.6780,,3.8490,,0.0000,532.2930,39.8890,77.9420,252.2310,0.8970,,14.8060,22.8200,A,27.3500,522110
063165,20141231,2014,FS,C,D,STD,KENTUCKY BANCSHARES INC,USD,,77.9420,,12.9880,,43.4130,70.0460,,2.7210,,0.2150,,147.9880,29.7310,14.5030,,,1.6780,,,,0.0000,,39.8890,77.9420,,0.8970,3.7560,14.8060,,A,27.3500,522110
063169,20141231,2014,INDL,C,D,STD,DASSAULT SYSTEMS SA,USD,2395.4680,3561.8810,1422.4630,553.4940,251.5930,12.0820,423.5350,423.535,125.1620,782.2890,12.8380,-205.9780,4004.8310,27.6740,3270.4850,0.0000,-1211.1420,86.2630,1378.5310,604.3880,364.4040,0.0000,897.3980,2776.3080,3561.8810,,185.5100,6.9440,1328.6370,1994.0190,A,61.1560,511210
